IdBook;Author;Category;Description;Image;ReleaseYear;Title
1;Mark Twain;Huckleberry Finn (Fictitious character),Male friendship,Adventure and adventures,Spanish language books,Readers,Runaway children,Fiction,Child witnesses,Relatos de aventura,Juvenile literature,Adventure stories,Race relations,American Adventure stories,Specimens,Facsimiles,Boys,Tom Sawyer (Fictitious character),Historical fiction,Dummies (Bookselling),Manuscripts,Readers for new literates,Mississippi River,Children's stories, American,Adventure and adventurers,High interest-low vocabulary books,Ficciu00f3n juvenil,open_syllabus_project,Children's stories,Missouri,Sawyer, Tom (Personaje literario),Muchachos,Cartoons and comics,History,Social life and customs,Niu00f1os,Translations into Russian,Translations into Polish,Juvenile fiction,History and criticism,Spanish language,Translations into Czech,Fugitive slaves,American Manuscripts,Boys -- Missouri -- Fiction,Novels, other prose & writers: 19th century,Mississippi River -- Fiction,;Includes bibliographical references (p. 213-216).;https://covers.openlibrary.org/b/id/295577-L.jpg;1997;The adventures of Tom Sawyer
7;Lucy Gordon;In library;Harlequin Romance;https://covers.openlibrary.org/b/id/214291-L.jpg;0;Her Italian Boss's Agenda
8;Barbara Hill Rigney;Internet Archive Wishlist,Criticism and interpretation,Women and literature,History,Critique et interpru00e9tation,Femmes et littu00e9rature,Histoire,;Bibliography: p. 139-141.nnIncludes index.;https://covers.openlibrary.org/b/id/9256068-L.jpg;1987;Margaret Atwood
9;David M. Collopy;C (Computer program language),C++ (Computer program language),;Includes index.nnAccompanied by a CD-ROM disk.;https://covers.openlibrary.org/b/id/9261012-L.jpg;2003;Introduction to C programming
13;Ernest Ropiequet Hilgard;In library,Psychology,Psicologia,Accessible book,Einfu00fchrung,Textbooks,Psychology textbooks,Psychologie,Humanities textbooks,Protected DAISY,;Bibliography: p. [619]-639.nIncludes index.;https://covers.openlibrary.org/b/id/6618073-L.jpg;1975;Introduction to psychology
14;"Cecie Starr Ralph , Taggart Starr ";Biology,Textbooks,Biology textbooks,Accessible book,In library,Human biology,Biologie,Protected DAISY,Science textbooks,Physiology,Science/Mathematics,;Includes bibliographical references and index.;https://covers.openlibrary.org/b/id/6642203-L.jpg;1991;Biology
16;"Sarah Schulman ";Difference (Psychology),Social psychology,Conflict management,Social conflict,;Includes bibliographical references (pages 287-290).;https://covers.openlibrary.org/b/id/9255836-L.jpg;2016;Conflict is not abuse
17;"Antonia Zehler ";Bears,Fiction,Friendship,Tea,Protected DAISY,Juvenile fiction,Conflict management,;Preschool-grade 1.;https://covers.openlibrary.org/b/id/233716-L.jpg;2002;Two fine ladies
19;"Denys Cazet ";Fiction,Juvenile fiction,Humorous stories,Tractors,Cows,Farm life,Friendship,;Reprint. Originally published by DK, Inc., c1998.;https://covers.openlibrary.org/b/id/8667824-L.jpg;1999;Minnie and Moo go to the moon
23;"Morgan, Robin. Robin Morgan ";Terrorism,Women terrorists,Government policy,Feminism,Accessible book,Protected DAISY,Femmes terroristes,Terrorisme,Politique gouvernementale,Fu00e9minisme,In library,Terroristin,Terrorismus,;Includes bibliographical references (p. 371-373) and index.;https://covers.openlibrary.org/b/id/477530-L.jpg;2001;The demon lover
25;"Angela Barron McBride ";Social conditions,Internet Archive Wishlist,Psychology,Feminism,Women,Social Conditions,;Includes bibliographical references.;https://covers.openlibrary.org/b/id/8143812-L.jpg;1976;A married feminist
28;"Benjamin Hulme-Cross ";Horror tales;7+.;https://covers.openlibrary.org/b/id/8274253-L.jpg;2013;House of memories
29;"Jane Austen ";Correspondence,English Novelists,;Bibliography: p. 213-214.rnIncludes indexes.;https://covers.openlibrary.org/b/id/8229954-L.jpg;1985;Selected letters, 1796-1817
31;"John Martin Robinson ";Manors,Country homes,;Includes bibliographies and index.;https://covers.openlibrary.org/b/id/8407934-L.jpg;1984;The latest country houses
32;"Marcus Binney ";In library,Manors,Gardens,Country homes,;Includes bibliographical references (p. 222) and index.;https://covers.openlibrary.org/b/id/643588-L.jpg;1998;Houses and gardens of Portugal
36;"Genevieve Davis Ginsburg ";In library,Widows,Life skills guides,Protected DAISY,;Originally published: To live again : Los Angeles : T.P. Tarcher, 1987.nIncludes index.;https://covers.openlibrary.org/b/id/8364976-L.jpg;1997;Widow to widow
40;"J. R. Block ";Optical illusions,Visual perception,Accessible book,Protected DAISY,In library,;Includes bibliographical references (p. 241-244).;https://covers.openlibrary.org/b/id/8042515-L.jpg;1989;Can you believe your eyes?
41;"James Q. Wilson,  John J. DiIulio, Jr. ";Accessible book,Constitution,Local government,Politics and government,Politique et gouvernement,Protected DAISY,Pru00e9sidents,State governments,Study and teaching (Secondary),Textbooks,Offentlig meningsdannelse,Pru00e6sidenter,USA,Interesseorganisationer,Valg,Politiske systemer,Frihedsrettigheder,Politiske partier,Politiske forhold,Forfatninger,Parlamenter,Regeringer,Retssystemer,In library,;Includes bibliographical references and index.;https://covers.openlibrary.org/b/id/3701725-L.jpg;2000;American government
42;"Irving Louis Horowitz ";Political sociology,Politics and government,Ideology,Sociology,Polarity (Philosophy),Soziales System,Sociologie,Sociologie politique,Politische Soziologie,Contraires (Logique),Politique et gouvernement,Ideologie,Politik,Politisches System,;Bibliography: p. [303]-321.nIncludes index.;https://covers.openlibrary.org/b/id/4231685-L.jpg;1984;Winners and losers
43;"Lewis Joachim Edinger Lewis J. Edinger ";Politics and government,Politisches System,Politique et gouvernement,Politik,Politiek,Overheidsbeleid,;Bibliography: p. [331]-334.nIncludes index.;https://covers.openlibrary.org/b/id/4142447-L.jpg;1986;West German politics
44;"Kellas, James G. ";Politics and government,Politisches System,Politique et gouvernement,;Bibliography: p. 276-278.nIncludes index.;https://covers.openlibrary.org/b/id/8456500-L.jpg;1984;The Scottish political system
49;"George, Charles ";Juvenile literature,Protected DAISY,In library,;Includes bibliographical references (p. 136-137) and index.;https://covers.openlibrary.org/b/id/1262220-L.jpg;1999;Mississippi
51;"Jill Bailey Steve Parker ";Birds,Juvenile literature,Identification,Herbivores,Granivores,Food,Protected DAISY,Accessible book,Birds & birdwatching,Children's Books/Ages 9-12 Nonfiction,Nature/Ecology,Reference - Encyclopedias,Animals - Birds,;Includes index.;https://covers.openlibrary.org/b/id/800186-L.jpg;0;Birds
54;"Mary Firestone ";Internet Archive Wishlist,Endangered species,Juvenile literature,Elephants,;Includes bibliographical references and index.;https://covers.openlibrary.org/b/id/8207161-L.jpg;0;Top 50 reasons to care about elephants
55;"Michael Herschell ";Internet Archive Wishlist,Juvenile literature,Endangered species,;Includes index.;https://covers.openlibrary.org/b/id/3882740-L.jpg;0;Animals in danger
58;"Kathy Lancaster ";Parenting,Adopted children,In library,Protected DAISY,;Includes bibliographical references (p. 181-183) and index.;https://covers.openlibrary.org/b/id/602194-L.jpg;0;Keys to parenting an adopted child
67;"Cindi McMenamin ";Christian women,Health and hygiene,Religious life,RELIGION / Christian Life / General,;Includes bibliographical references.;https://covers.openlibrary.org/b/id/1368212-L.jpg;0;When you're running on empty
69;"Rhonda Rhea ";Christian life,Family,Religious life,Families,;Includes bibliographical references (p.         ).;https://covers.openlibrary.org/b/id/532924-L.jpg;0;Who put the cat in the fridge?
